Kinase	Z	method	AvgZ
PKA	4.52	meanLFC>0.2	4.82
JNK	-4.41	meanLFC>0.2	-4.766666666666667
ERK	-4.35	meanLFC>0.2	-4.57
P38	-4.01	meanLFC>0.2	-3.8933333333333335
RSK	3.88	meanLFC>0.2	3.966666666666667
DMPK	3.86	meanLFC>0.2	3.7866666666666666
DYRK	-3.77	meanLFC>0.2	-4.1
PDK1	-3.73	meanLFC>0.2	-3.8
PKG	3.56	meanLFC>0.2	3.626666666666667
AKT	3.29	meanLFC>0.2	3.68
STE7	-3.27	meanLFC>0.2	-3.48
PKCI	2.99	meanLFC>0.2	3.1366666666666667
RAD53	2.94	meanLFC>0.2	2.5633333333333335
PAKA	2.87	meanLFC>0.2	3.02
PLK	-2.76	meanLFC>0.2	-2.79
PKD	2.76	meanLFC>0.2	2.6033333333333335
NMO	-2.68	meanLFC>0.2	-2.74
PKCA	2.64	meanLFC>0.2	2.736666666666667
PHK	2.54	meanLFC>0.2	2.413333333333333
PIM	2.46	meanLFC>0.2	2.21
AUR	2.43	meanLFC>0.2	2.0966666666666667
STE11	-2.42	meanLFC>0.2	-2.32
PKCD	2.28	meanLFC>0.2	1.6199999999999999
MST	-2.23	meanLFC>0.2	-2.2600000000000002
LKB	-2.05	meanLFC>0.2	-1.91
CDK	-2.03	meanLFC>0.2	-1.9833333333333332
MAPKAPK	2	meanLFC>0.2	2.0533333333333332
AMPK	2	meanLFC>0.2	1.9666666666666668
CK1	-2	meanLFC>0.2	-1.9466666666666668
PAKB	1.49	meanLFC>0.2	1.5366666666666666
PKN	1.47	meanLFC>0.2	1.5733333333333333
NUAK	-1.38	meanLFC>0.2	-1.3033333333333332
TLK	-1.36	meanLFC>0.2	-1.29
NAK	-1.34	meanLFC>0.2	-1.2966666666666666
TTK	-1.33	meanLFC>0.2	-1.2933333333333334
SGK	1.15	meanLFC>0.2	1.3866666666666665
TAO	1.12	meanLFC>0.2	1.1233333333333333
PASK	1.08	meanLFC>0.2	1.1266666666666667
MOS	1.05	meanLFC>0.2	1.0833333333333335
STKR	-1.02	meanLFC>0.2	-0.8933333333333333
PRKDC	-1.02	meanLFC>0.2	-1.2833333333333334
SLK	-0.98	meanLFC>0.2	-0.9266666666666666
CLK	-0.97	meanLFC>0.2	-0.9066666666666666
WNK	-0.96	meanLFC>0.2	-0.9033333333333333
BRSK	-0.96	meanLFC>0.2	-0.9066666666666666
KHS	-0.96	meanLFC>0.2	-0.9033333333333333
NIK	-0.95	meanLFC>0.2	-0.92
CAMKK	-0.95	meanLFC>0.2	-0.8933333333333333
ULK	-0.94	meanLFC>0.2	-0.9066666666666666
IRAK	-0.93	meanLFC>0.2	-0.7633333333333334
BUD32	-0.92	meanLFC>0.2	-0.9066666666666667
PDK	-0.92	meanLFC>0.2	-0.91
GSK	-0.92	meanLFC>0.2	-1.5233333333333334
ATM	-0.91	meanLFC>0.2	-0.84
MTOR	-0.87	meanLFC>0.2	-1.4933333333333332
FRAY	-0.74	meanLFC>0.2	-1.1933333333333334
ATR	-0.73	meanLFC>0.2	-0.9333333333333333
DAPK	0.7	meanLFC>0.2	0.5
CK2	-0.59	meanLFC>0.2	-0.47333333333333333
MLCK	0.59	meanLFC>0.2	0.67
NDR	0.56	meanLFC>0.2	0.6766666666666666
CAMK1	0.51	meanLFC>0.2	0.6900000000000001
PDHK	-0.5	meanLFC>0.2	-0.27
IKK	-0.5	meanLFC>0.2	-0.33999999999999997
BARK2	-0.48	meanLFC>0.2	-0.41
CHK1	0.48	meanLFC>0.2	0.65
NEK	-0.46	meanLFC>0.2	-0.5666666666666667
CAMK2	0.46	meanLFC>0.2	0.6633333333333333
GRK	-0.44	meanLFC>0.2	-0.26
QIK	0.4	meanLFC>0.2	0.36
COT	-0.34	meanLFC>0.2	-0.23333333333333334
VRK1	-0.34	meanLFC>0.2	-0.87
RIPK	0.33	meanLFC>0.2	0.39
MELK	0.26	meanLFC>0.2	0.24666666666666667
PKCH	0.2	meanLFC>0.2	0.22
MLK	0.17	meanLFC>0.2	-0.11666666666666667
RAF	-0.12	meanLFC>0.2	-0.23
MARK	0.12	meanLFC>0.2	0.22999999999999998
MSN	0.09	meanLFC>0.2	0.17666666666666667
HAL	0.08	meanLFC>0.2	0.13333333333333333
PEK	-0.03	meanLFC>0.2	-0.02
PKA	5.08	meanLFC>0.3	4.82
JNK	-5.03	meanLFC>0.3	-4.766666666666667
ERK	-4.73	meanLFC>0.3	-4.57
DYRK	-4.25	meanLFC>0.3	-4.1
RSK	4.23	meanLFC>0.3	3.966666666666667
PKG	4.08	meanLFC>0.3	3.626666666666667
P38	-4.03	meanLFC>0.3	-3.8933333333333335
